"HANG SENG INDEX OPTIONS DAILY MARKET REPORT (Final)"

"Hong Kong Exchanges and Clearing Limited and/or its subsidiaries endeavour to ensure the"
"accuracy and reliability of the information provided, but do not guarantee its accuracy and"
"reliability and accept no liability (whether in tort or contract or otherwise) for any loss"
"or damage arising from any inaccuracies or omissions."


"TOP 10 TRADED (BY VOLUME)",,,"VOLUME","O.Q.P. CLOSE","IV%","DAILY HIGH","DAILY LOW","OPEN INTEREST","O.Q.P. CHANGE"

P,MAR-19,28800,5864,95,13,203,75,2290,-33
C,MAR-19,29200,5828,134,12,252,80,3831,-61
C,MAR-19,29400,5331,70,12,151,43,3657,-49
P,MAR-19,29000,5107,155,13,305,118,3691,-35
C,MAR-19,29600,4142,32,12,82,21,3954,-34
C,MAR-19,29000,3858,235,12,384,147,4413,-74
P,MAR-19,28600,3813,57,14,136,49,4647,-29
P,MAR-19,28400,2713,36,16,87,32,7680,-22
C,MAR-19,29800,2571,13,12,41,10,2565,-22
P,MAR-19,29200,2264,251,12,432,183,1759,-23

"Hang Seng Index Options HK$50 per point"

,,,"Prev.BUSINESS DAY",,,,,,,,"BUSINESS DAY"
,,,"21 MAR 2019, THURSDAY ",,,,,,,,"22 MAR 2019, FRIDAY   "

,,,"After-Hours Trading Session",,,,,,,,"Day Trading Session",,,,,,"Combined"

"CONTRACT MONTH","STRIKE PRICE","C/P","*OPENING PRICE","*DAILY HIGH","*DAILY LOW","CLOSE PRICE","VOLUME","*OPENING PRICE","*DAILY HIGH","*DAILY LOW","O.Q.P. CLOSE","O.Q.P. CHANGE","IV%","VOLUME","*CONTRACT HIGH","*CONTRACT LOW","VOLUME","OPEN INTEREST","CHANGE IN OI"
MAR-20,25600,C,0,0,0,0,0,0,0,0,4008,-36,19,0,0,0,0,0,0
MAR-20,25800,C,0,0,0,0,0,0,0,0,3862,-36,18,0,0,0,0,0,0
MAR-20,26000,C,0,0,0,0,0,0,0,0,3718,-36,18,0,0,0,0,0,0
MAR-20,26200,C,0,0,0,0,0,0,0,0,3576,-36,18,0,0,0,0,0,0
MAR-20,26400,C,0,0,0,0,0,0,0,0,3438,-35,18,0,0,0,0,0,0
MAR-20,26600,C,0,0,0,0,0,0,0,0,3301,-35,18,0,0,0,0,0,0
MAR-20,26800,C,0,0,0,0,0,0,0,0,3167,-35,18,0,0,0,0,0,0
MAR-20,27000,C,0,0,0,0,0,3080,3080,3080,2998,-73,17,1,3080,3000,1,2,-1
MAR-20,27200,C,0,0,0,0,0,0,0,0,2908,-34,18,0,0,0,0,0,0
MAR-20,27400,C,0,0,0,0,0,0,0,0,2783,-34,18,0,0,0,0,0,0
MAR-20,27600,C,0,0,0,0,0,0,0,0,2660,-34,18,0,0,0,0,0,0
MAR-20,27800,C,0,0,0,0,0,0,0,0,2540,-33,17,0,0,0,0,0,0
MAR-20,28000,C,0,0,0,0,0,2500,2500,2500,2402,-54,17,1,2500,2500,1,1,+1
MAR-20,28200,C,0,0,0,0,0,0,0,0,2288,-41,17,0,0,0,0,0,0
MAR-20,28400,C,0,0,0,0,0,0,0,0,2178,-43,17,0,0,0,0,0,0
MAR-20,28600,C,0,0,0,0,0,0,0,0,2075,-32,17,0,1855,1747,0,125,0
MAR-20,28800,C,0,0,0,0,0,0,0,0,1972,-32,17,0,0,0,0,0,0
MAR-20,29000,C,0,0,0,0,0,0,0,0,1872,-34,17,0,0,0,0,0,0
MAR-20,29200,C,0,0,0,0,0,0,0,0,1777,-33,17,0,0,0,0,0,0
MAR-20,29400,C,0,0,0,0,0,0,0,0,1684,-30,17,0,0,0,0,0,0
MAR-20,29600,C,0,0,0,0,0,0,0,0,1595,-30,17,0,0,0,0,0,0
MAR-20,29800,C,0,0,0,0,0,0,0,0,1510,-29,16,0,0,0,0,0,0
MAR-20,30000,C,0,0,0,0,0,0,0,0,1426,-30,16,0,0,0,0,100,0
MAR-20,30200,C,0,0,0,0,0,0,0,0,1348,-28,16,0,0,0,0,0,0
MAR-20,30400,C,0,0,0,0,0,0,0,0,1272,-31,16,0,1153,1153,0,8,0
MAR-20,30600,C,0,0,0,0,0,0,0,0,1200,-28,16,0,1087,1087,0,4,0
MAR-20,30800,C,0,0,0,0,0,0,0,0,1132,-26,16,0,1027,1012,0,24,0
MAR-20,31000,C,0,0,0,0,0,1022,1022,1022,1066,-27,16,1,1210,969,1,16,0
MAR-20,31200,C,0,0,0,0,0,1002,1002,958,1003,-27,16,2,1002,912,2,24,0
MAR-20,31400,C,0,0,0,0,0,0,0,0,946,-22,16,0,0,0,0,0,0
MAR-20,31600,C,0,0,0,0,0,0,0,0,888,-23,16,0,1003,938,0,1,0
MAR-20,31800,C,0,0,0,0,0,0,0,0,834,-23,16,0,0,0,0,0,0
MAR-20,32000,C,0,0,0,0,0,0,0,0,784,-16,16,0,0,0,0,0,0
MAR-20,32200,C,0,0,0,0,0,0,0,0,736,-9,16,0,0,0,0,0,0
MAR-20,32400,C,0,0,0,0,0,0,0,0,688,+15,16,0,622,622,0,8,0
MAR-20,32600,C,0,0,0,0,0,0,0,0,641,+16,16,0,566,566,0,8,0
MAR-20,32800,C,0,0,0,0,0,0,0,0,597,+18,16,0,549,533,0,0,0
MAR-20,33000,C,0,0,0,0,0,0,0,0,556,+20,16,0,494,494,0,8,0
MAR-20,33200,C,0,0,0,0,0,0,0,0,516,+20,16,0,484,484,0,8,0
MAR-20,33400,C,0,0,0,0,0,0,0,0,479,+21,16,0,0,0,0,0,0
MAR-20,33600,C,0,0,0,0,0,0,0,0,444,+22,15,0,0,0,0,0,0
MAR-20,33800,C,0,0,0,0,0,0,0,0,411,+23,15,0,0,0,0,0,0
MAR-20,34000,C,0,0,0,0,0,0,0,0,380,+24,15,0,0,0,0,0,0
MAR-20,34200,C,0,0,0,0,0,0,0,0,350,+24,15,0,0,0,0,0,0
MAR-20,34400,C,0,0,0,0,0,0,0,0,323,+25,15,0,0,0,0,0,0
